text,suggestion1,score1,source1,suggestion2,score2,source2,suggestion3,score3,source3,need_review
発表の概要,可視化,0.630,seed,応用数理,0.608,seed,機械学習,0.598,seed,yes
VRChatとcluster上でVR酔い訓練ワールドを制作しました。VR酔い訓練ワールドは、前庭訓練を応用、発展させ、VR上に実装したものです。船酔いは乗船中だけでなく、上陸後も最低24時間生活の質に影響を及ぼすことが報告されています。今回、VR酔い訓練ワールドを通じて船酔いを克服した１例を報告します。この報告は、VRが現実世界の酔い症状への対策として有効である可能性を示唆します。今後の応用と研究に期待が寄せられます。,ソーシャルVR,0.663,seed,教育,0.595,seed,可視化,0.565,seed,no
デジタル変革（デジタル変革）の進展により、多くの分野が革新されており、小売業もその例外ではありません。本研究では、インタラクティブなバーチャル試着システムの開発を中心に、3Dモデリングをバーチャルショッピング体験に統合することを探求します。このシステムは、ユーザーが自身の体型を反映したバーチャルアバターに服を視覚化することを可能にするもので、高度な3Dモデリング技術とウェブベースの技術を活用しています。本研究は、この技術が顧客満足度や返品率に与える影響を調査し、特にEコマースにおける主要な課題であるサイズの不適合に対処することを目的としています。2024年6月の米国の統計によると、衣類は全オンライン返品の23％を占めています。この高い返品率は、購入前に実際に試着できないため、サイズやフィット感の問題が原因です。ShippoやPrime AIの研究によれば、一部のカテゴリーではアパレルの返品率が50％に達することもあり、アパレル全体の平均返品率は10.01％です。本研究は、3Dモデリングとバーチャル試着技術の採用を通じて、これらの課題に取り組むことを目指します。,教育,0.629,seed,513 構造工学,0.561,ndc,576 繊維工業,0.558,ndc,no
以前の報告で，我々はソーシャルVR空間の一つであるVRChat上に好奇心ベースの自律機械知能(AMI)を実装し，その振舞いを観察・分析した．しかし，そのAMIシステムでは学習と推論が逐次的に交互処理されるため，推論停止時間が発生し，環境とエージェント間の相互作用の設計や，モデルサイズにスケール性のある学習時間の大きいアーキテクチャを採用する上で障害となっていた．そこで本研究では，推論と学習を非同期に実行するシステムを開発し，その課題に対処した．そしてスケール性のあるモデルアーキテクチャを採用することで，AMIシステム上で学習可能であることに加えて，モデルサイズの増大によってその性能が向上することを確認した．これらの結果から、我々はソーシャルVR空間上に適用可能な，深層モデルを用いたAMIを実装するための基盤を構築できたことを示した．,ソーシャルVR,0.631,seed,教育,0.626,seed,513 構造工学,0.553,ndc,yes
"VRChat を取り巻く文化として改変があり,Booth での物品販売も活発化している.しかし,Booth などの売り上げやスキ数の推移に着目した分析やデータは,先行研究にほとんど見られない.本研究では,VRChat における Booth の売り上げと X でのプロモーションの関係性,および衣服アイテムにおけるアバターごとの購入割合について分析を行った.その結果,Xでの積極的なプロモーション活動がBoothでの売り上げ増加に寄与すること,特定のアバターに需要の偏りがあることが明らかになった.また,スキ数と購入率の関連性や,無料商品の拡散の課題なども示唆された.これらの知見は,クリエイターがマーケティング戦略を立案する際に有用であると考えられる.",ソーシャルVR,0.602,seed,可視化,0.585,seed,教育,0.582,seed,yes
"本研究では2024年5月31日から6月2日にかけて開催された学際系メタバースイベントFirst Step Metaverse Festival 2024を対象にPine & Gilmoreの経験経済理論を用いて参加者体験を分析し、メタバースイベントの進化と可能性について考察を行った.分析の結果、以下の点が明らかになった(1)FSMF2024は経験経済理論の4E（Entertainment, Educational, Esthetic, Escapist）をバランスよく満たしており、特に教育的経験と娯楽的経験で高い評価を得た(2)メタバース経験者の割合が増加し、イベントの技術的安定性が向上(3)参加者の満足度が非常に高く、高い次回参加意向はイベントの継続的価値を示唆(4)教育、エンターテインメント、ビジネス利用への期待が高まっている.これらの結果から学際系メタバースイベントは従来の学際系オンラインイベントとは異なる価値を提供し、新たな知識創造とイノベーションの場として発展する可能性が示唆された.今後の課題は4E各領域の強化、クロスプラットフォーム展開、AIとの連携、グローバル展開などである.",教育,0.592,seed,工学・サイエンスコミュニケーション,0.574,seed,インタラクション,0.571,seed,yes
現在、会話能力のあるLLMを使用し、3Dのキャラクターとプレイヤーが会話できるLLMが存在する。LLMとアニメーションを出力する生成モデルが組み合わせ可能なら、キャラクターの動作を決められたもの以上に増やせると考えた。本研究では、会話能力のあるLLMとしてChatGPT-3.5とアニメーションを出力する生成モデルとしてHuman Motion Diffusion Modelの出力に整合性があるかを検討した。生成したアニメーションを被験者20人に回答を表しているかと人間らしいかの二点で、5段階で評価してもらったところ、回答を表しているかの項目の中央値は2.0であり、人間らしいかの項目の中央値は4.0であった。これにより、出力されたアニメーションは、人間らしい動きではあるが、回答を十分に表せない傾向があることがわかった。,教育,0.635,seed,工学・サイエンスコミュニケーション,0.578,seed,513 構造工学,0.569,ndc,no
VR体験における没入感の向上には、現実空間と仮想空間のサイズ差が課題となる。ReDirected Walking (RDW) という手法は、現実の動きに対してHMDの映像をわずかにずらし、広い空間を移動しているかのような錯覚を生む。先行研究では、様々な刺激に対するRDWの検出閾値が決定されている。本研究では、RDWと並列仮想アバターを組み合わせ、追従行動が検出閾値に与える影響を調査した。MetaQuest2を用い、恒常法に基づく実験を実施した結果、視覚刺激のみの場合のRDW検出閾値は[0.93-1.26]であったのに対し、並列視覚刺激と仮想アバターを組み合わせた場合の閾値は[0.88-1.29]であった。並列仮想アバターの追加により、検出閾値が広がり、追従心理が映像操作の認識を妨げることが示唆された。,可視化,0.621,seed,感覚・知覚,0.620,seed,教育,0.617,seed,yes
アバターの外見の違いはユーザーのパフォーマンスに影響を与えることが知られており、プロテウス効果と呼ばれている。本研究の目的は、アバターの体格がバーチャル空間でのバランス能力に与えるプロテウス効果の影響を検証することである。三重大学医学部の学生や職員（20～50代）を対象に、メタバースプラットフォーム：clusterにてワールド構築し、実験を行った。高所で、自分の姿が鏡で見えるワールドに、ヘッドマウントディスプレイでログインしてもらった。筋肉質と細身の2種類のアバターを用意し、重心動揺計（GAITVIEW）を用いて、ロンベルグ姿勢を60秒間保持し、重心動揺を測定した。筋肉質アバター使用時の方が細身アバター使用時よりも重心動揺が少なく、バランス能力に対するプロテウス効果の影響が示唆された。,教育,0.615,seed,可視化,0.570,seed,工学・サイエンスコミュニケーション,0.568,seed,no
PythonスクリプトとVRChatアバターを使い，原始的な生物のように動く人工知能を作成した,ソーシャルVR,0.674,seed,アバター,0.657,seed,可視化,0.628,seed,yes
